"States","Median.Household.Income","Male","Female","Population.Density","Total.Population","Households.without.Public.Assistance","Households.w..Public.Assistance.Income","Households.without.SSI","Households.w..Social.Security.Income","White","Asian","Black","American.Indian.Alaska.Native","Pacific.Islander","X..2..Races","Other.Race"
"Alabma",66659,45445,28966,101.83,5157699,0.99,0.01,0.35,0.65,0.63,0.02,0.25,0,0,0.04,0
"Arizona",66660,50126,28967,66.71,7582384,0.98,0.02,0.34,0.66,0.51,0.04,0.04,0.03,0,0.05,0.01
"Arkansas",66661,41326,28968,59.4,3088354,0.99,0.01,0.35,0.65,0.67,0.02,0.14,0,0,0.07,0
"California",66662,51373,28969,252.99,39431263,0.96,0.04,0.29,0.71,0.33,0.16,0.05,0,0,0.05,0.01
"Colarado",66663,60776,28970,57.48,5957494,0.98,0.02,0.26,0.74,0.64,0.03,0.04,0,0,0.05,0.01
"Conneticut",66664,58046,28971,758.92,3675069,0.97,0.03,0.33,0.68,0.6,0.05,0.1,0,0,0.05,0.01
"Delaware",66665,50739,28972,539.85,1051917,0.98,0.02,0.38,0.62,0.57,0.05,0.21,0,0,0.05,0.01
"Florida",66666,45991,28973,435.6,23372215,0.98,0.02,0.37,0.63,0.49,0.03,0.14,0,0,0.04,0.01
"Georgia ",66667,48501,28974,193.72,11180878,0.98,0.02,0.3,0.7,0.48,0.05,0.3,0,0,0.04,0.01
"Idaho",66668,49367,28975,24.22,2001619,0.98,0.02,0.33,0.67,0.78,0.02,0.01,0.01,0,0.04,0.01
"Illinois",66669,52045,28976,228.96,12710158,0.97,0.03,0.3,0.7,0.57,0.06,0.13,0,0,0.04,0
"Indiana",66670,48200,28977,193.28,6924275,0.98,0.02,0.32,0.68,0.74,0.03,0.09,0,0,0.04,0.01
"Iowa",66671,50282,28978,58.04,3241488,0.98,0.02,0.32,0.69,0.81,0.03,0.04,0,0,0.04,0
"Kansas",66672,49455,28979,36.33,2970606,0.99,0.01,0.31,0.69,0.72,0.03,0.05,0.01,0,0.05,0
"Kentucky",66673,42891,28980,116.2,4588372,0.98,0.02,0.34,0.66,0.8,0.02,0.07,0,0,0.05,0
"Louisiana",66674,43918,28981,106.4,4597740,0.99,0.02,0.33,0.67,0.55,0.02,0.3,0,0,0.04,0
"Maine",66675,47497,28982,45.55,1405012,0.97,0.03,0.38,0.62,0.89,0.01,0.02,0,0,0.05,0
"Maryland",66676,60257,28983,644.97,6263220,0.98,0.03,0.29,0.71,0.45,0.07,0.29,0,0,0.05,0.01
"Massachussets",66677,60320,28984,914.78,7136171,0.97,0.03,0.31,0.69,0.65,0.08,0.06,0,0,0.06,0.01
"Michigan",66678,47473,28985,179.13,10140459,0.98,0.02,0.35,0.65,0.72,0.04,0.13,0,0,0.05,0
"Minnesota",66679,54798,28986,72.75,5793151,0.97,0.03,0.3,0.7,0.75,0.05,0.08,0.01,0,0.05,0
"Misssissippi",66680,40426,28987,62.72,2943045,0.98,0.02,0.36,0.65,0.55,0.01,0.36,0,0,0.03,0
"Misouri",66681,47071,28988,90.85,6245466,0.99,0.02,0.33,0.67,0.76,0.02,0.1,0,0,0.05,0
"Montana",66682,48121,28989,7.81,1137233,0.97,0.03,0.36,0.65,0.83,0.01,0,0.05,0,0.05,0.01
"Nebraska",66683,50287,28990,26.11,2005466,0.98,0.02,0.3,0.7,0.74,0.03,0.05,0.01,0,0.04,0
"Nevada",66684,47538,28991,29.74,3267467,0.97,0.03,0.31,0.69,0.43,0.09,0.09,0.01,0.01,0.06,0.01
"New Hampshire",66685,57789,28992,157.37,1409032,0.98,0.02,0.36,0.64,0.86,0.03,0.01,0,0,0.04,0
"New Jersey",66686,60369,28993,1291.76,9500851,0.98,0.02,0.32,0.68,0.5,0.11,0.12,0,0,0.04,0.01
"New Mexico",66687,41237,28994,17.56,2130256,0.97,0.03,0.36,0.64,0.35,0.02,0.02,0.08,0,0.03,0.01
"New York",66688,51246,28995,421.6,19867248,0.96,0.04,0.33,0.68,0.52,0.09,0.13,0,0,0.04,0.01
"North Carolina ",66689,47688,28996,227.17,11046024,0.98,0.02,0.32,0.68,0.59,0.04,0.2,0.01,0,0.05,0.01
